Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,age70plus,3968673,1166143,1004870,161273,2802529,954222,60313,372564,323074,49490,46923,26693,20230,465478,35230,8845,14538,473268,343762,27387,104367,102815,41942,36498,366,24009,1552,3864305,13621435
1989:Q3,age55to69,8018386,2365509,1902011,463498,5652877,982004,169959,366116,325181,40935,189728,111162,78566,743888,100234,132425,190823,1700515,1019168,58016,427803,423412,291831,91042,1106,39433,4391,7590584,19197157
1989:Q3,age40to54,7774702,3146220,2473161,673059,4628482,657244,95709,243059,181319,61740,46110,27531,18579,635287,130706,157287,362344,1092225,1127322,81189,1240745,1234921,871384,300368,1620,61548,5824,6533957,24579466
1989:Q3,ageunder40,3826797,2111477,1513127,598350,1715320,362998,36662,87781,80271,7511,11104,3475,7629,218542,94022,30275,117486,216322,479371,60757,1379859,1375650,1005998,356299,1440,11913,4209,2446938,35622043
1989:Q4,age70plus,4089356,1221427,1049265,172162,2867929,970963,65454,374147,322520,51627,55561,32335,23226,471561,36886,9102,14328,485910,355669,28348,102125,100354,39780,37244,356,22973,1771,3987231,13724617
1989:Q4,age55to69,8187195,2412333,1945254,467079,5774861,988589,172317,367655,323954,43701,197990,119463,78527,779875,106829,136830,200970,1729595,1034663,59550,451783,447081,306669,99611,1092,39709,4702,7735412,19250073
1989:Q4,age40to54,7879499,3140684,2467275,673408,4738816,669592,100442,251381,188631,62750,48999,30557,18443,650611,132870,164576,377366,1133019,1127767,82192,1266518,1260551,892769,304306,1537,61938,5968,6612981,24596086
1989:Q4,ageunder40,3885198,2145456,1532522,612933,1739742,370903,39024,87787,80021,7766,11952,4308,7644,222746,95047,30533,122532,218542,478729,61946,1407117,1402909,1021362,368123,1405,12018,4208,2478080,35691463
1990:Q1,age70plus,4103006,1232634,1049263,183371,2870372,977865,73354,370063,320303,49760,71566,45059,26507,426646,37033,9352,12091,496085,365828,30488,100588,98948,40713,34500,442,23293,1640,4002418,13824828
1990:Q1,age55to69,8226744,2430368,1949969,480399,5796376,982422,179919,363398,320047,43351,211922,133332,78590,747180,111528,141060,199305,1750844,1046718,62080,472926,468219,325707,98688,1381,42443,4707,7753817,19289216
1990:Q1,age40to54,7940669,3161046,2477574,683472,4779622,671094,108015,254889,195299,59590,53647,35373,18274,623732,133787,171958,379448,1171321,1127620,84112,1289941,1284134,924976,294543,1873,62742,5807,6650728,24635411
1990:Q1,ageunder40,3888265,2155919,1536178,619741,1732347,369090,42372,88710,79894,8816,14108,6429,7679,208466,95646,30771,123356,219692,476227,63910,1426932,1422790,1044003,364589,1762,12436,4142,2461334,35754314
1990:Q2,age70plus,4201162,1277891,1084102,193789,2923271,985389,72054,380200,328790,51409,76869,47236,29634,434354,37687,10092,10288,507272,378580,30487,100994,99361,42425,33870,361,22705,1633,4100168,13922138
1990:Q2,age55to69,8362791,2472508,1990460,482048,5890283,976528,168323,379077,333170,45907,213350,135250,78100,786336,116790,151258,200552,1773740,1061651,62678,492766,487949,340660,102616,1148,43525,4817,7870025,19315451
1990:Q2,age40to54,8030417,3151384,2467740,683644,4879034,674105,106223,269192,209160,60032,55425,37261,18164,642682,135282,183952,385383,1212374,1129858,84557,1317948,1312186,954216,293123,1483,63363,5762,6712469,24696454
