Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,age70plus,3864305,3968673,1004870,161273,465478,473268,23383,343762,1496638,104367,41942,36498,25927
1989:Q3,age55to69,7590584,8018386,1902011,463498,743888,1700515,323248,1019168,1866058,427803,291831,91042,44930
1989:Q3,age40to54,6533957,7774702,2473161,673059,635287,1092225,519631,1127322,1254017,1240745,871384,300368,68993
1989:Q3,ageunder40,2446938,3826797,1513127,598350,218542,216322,147761,479371,653324,1379859,1005998,356299,17562
1989:Q4,age70plus,3987231,4089356,1049265,172162,471561,485910,23430,355669,1531359,102125,39780,37244,25101
1989:Q4,age55to69,7735412,8187195,1945254,467079,779875,1729595,337800,1034663,1892928,451783,306669,99611,45503
1989:Q4,age40to54,6612981,7879499,2467275,673408,650611,1133019,541942,1127767,1285477,1266518,892769,304306,69443
1989:Q4,ageunder40,2478080,3885198,1532522,612933,222746,218542,153065,478729,666660,1407117,1021362,368123,17632
1990:Q1,age70plus,4002418,4103006,1049263,183371,426646,496085,21443,365828,1560370,100588,40713,34500,25375
1990:Q1,age55to69,7753817,8226744,1949969,480399,747180,1750844,340365,1046718,1911269,472926,325707,98688,48531
1990:Q1,age40to54,6650728,7940669,2477574,683472,623732,1171321,551406,1127620,1305543,1289941,924976,294543,70422
1990:Q1,ageunder40,2461334,3888265,1536178,619741,208466,219692,154127,476227,673835,1426932,1044003,364589,18340
1990:Q2,age70plus,4100168,4201162,1084102,193789,434354,507272,20380,378580,1582685,100994,42425,33870,24699
1990:Q2,age55to69,7870025,8362791,1990460,482048,786336,1773740,351810,1061651,1916746,492766,340660,102616,49490
1990:Q2,age40to54,6712469,8030417,2467740,683644,642682,1212374,569335,1129858,1324785,1317948,954216,293123,70609
1990:Q2,ageunder40,2470456,3916359,1542859,632907,213495,221223,157140,475459,673276,1445903,1058615,369103,18185
1990:Q3,age70plus,4064322,4161468,1089400,199837,326925,516616,16702,392308,1619681,97146,41423,33666,22057
1990:Q3,age55to69,7811136,8320718,2006844,491820,664104,1790674,342440,1077088,1947749,509582,354550,108295,46737
1990:Q3,age40to54,6730970,8074149,2507813,693184,560629,1251987,568833,1133246,1358457,1343179,979300,294000,69879
1990:Q3,ageunder40,2431111,3896557,1558669,631314,176043,221963,155092,475056,678420,1465447,1071993,376341,17113
1990:Q4,age70plus,4196541,4288645,1092005,207153,372325,526627,16699,402164,1671672,92103,36566,33080,22457
1990:Q4,age55to69,7953810,8485394,1995230,498133,758363,1808414,357385,1086280,1981589,531584,368133,113860,49591
1990:Q4,age40to54,6883640,8248383,2502328,699929,616611,1293916,594755,1134637,1406207,1364743,999585,294175,70983
1990:Q4,ageunder40,2442021,3928394,1556832,633827,195562,222945,160794,471145,687288,1486373,1085526,383277,17570
1991:Q1,age70plus,4339946,4424084,1112766,218529,445070,536510,17560,404654,1688996,84138,32395,29726,22017
1991:Q1,age55to69,8108640,8651931,2000889,500978,890329,1824885,375549,1084662,1974639,543292,380467,111521,51304
1991:Q1,age40to54,7030205,8406258,2482078,703057,694477,1337007,626127,1132013,1431498,1376052,1020448,283426,72178
1991:Q1,ageunder40,2477981,3970179,1551670,645219,224389,223845,168307,461079,695670,1492198,1096382,377535,18281
1991:Q2,age70plus,4369081,4451964,1131281,224976,426793,547038,16071,410972,1694832,82882,33437,28350,21095
1991:Q2,age55to69,8124760,8684607,2018897,503397,895803,1842158,381350,1087848,1955154,559847,394622,113594,51631
