Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,College,11353376,3757347,2960829,796518,7596029,1245123,228215,653892,546679,107213,157548,95787,61760,1381226,187961,150985,410625,1469578,1616634,94242,1422219,1413938,1044743,274661,2564,91971,8281,9931156,21613571
1989:Q3,SomeCollege,4680517,1914255,1490725,423531,2766261,616298,50713,244122,204200,39922,34697,20445,14252,332322,67642,65409,108499,658009,540016,48533,760619,757600,543652,192196,848,20904,3019,3919897,18948257
1989:Q3,HS,4925153,2010938,1528054,482884,2914215,677142,73811,142845,134243,8602,73017,46160,26857,262590,72811,74962,105767,843199,532383,55688,715480,712226,462602,228660,787,20178,3254,4209673,29893093
1989:Q3,NoHS,2629512,1106808,913561,193247,1522704,417905,9905,28661,24722,3938,28604,6469,22135,87056,31778,37476,60299,511543,280590,28886,254454,253033,160157,88690,334,3852,1421,2375058,22565181
1989:Q4,College,11851995,3920047,3092097,827950,7931948,1302693,243882,677662,564451,113211,172863,109110,63752,1432949,196255,159850,440540,1543050,1663347,98857,1491163,1482336,1092144,294896,2535,92760,8828,10360831,22566796
1989:Q4,SomeCollege,4705773,1912160,1488140,424020,2793612,611248,52500,236546,196975,39571,40406,23446,16959,339221,69483,67031,110445,676287,541361,49084,764337,761265,545563,194246,794,20663,3072,3941435,19003672
1989:Q4,HS,4918705,2006127,1531938,474189,2912578,675609,70672,136808,127710,9098,73271,47311,25960,266131,74723,77940,107921,851424,522335,55745,719821,716473,465062,231237,740,19434,3348,4198884,29517842
1989:Q4,NoHS,2564776,1081566,882142,199424,1483210,410499,10183,29954,25990,3965,27964,6796,21168,86493,31170,36219,56289,496305,269784,28350,252221,250820,157812,88907,321,3781,1401,2312554,22173928
1990:Q1,College,12121903,4051625,3182419,869206,8070279,1329839,267779,689333,577206,112127,201235,135610,65625,1353921,200729,168205,450266,1605041,1699372,104558,1560418,1551752,1150295,301496,3203,96758,8667,10561485,23397817
1990:Q1,SomeCollege,4696005,1906815,1479818,426998,2789190,600910,56006,226241,189532,36709,48118,28280,19838,323338,70873,68829,107026,693728,543666,50455,769457,766419,555564,188726,947,21182,3038,3926548,19090250
1990:Q1,HS,4857576,1977041,1502423,474618,2880534,668465,69068,130235,121359,8876,73991,48827,25163,247839,75925,81023,105376,857962,513528,57121,714734,711469,472570,218989,913,18997,3265,4142842,29203955
1990:Q1,NoHS,2483200,1044486,848324,196161,1438714,401257,10806,31251,27446,3805,27899,7476,20423,80926,30467,35084,51532,481211,259827,28455,245777,244451,156970,83110,394,3977,1326,2237423,21811747
1990:Q2,College,12471628,4161319,3268949,892370,8310309,1353260,260768,728432,611448,116984,206417,139566,66851,1404527,205672,180987,463931,1663779,1735264,107270,1622048,1613334,1199098,313318,2636,98281,8714,10849580,24112998
