Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,College,9931156,11353376,2960829,796518,1381226,1469578,561610,1616634,2566981,1422219,1044743,274661,102815
1989:Q3,SomeCollege,3919897,4680517,1490725,423531,332322,658009,173908,540016,1062006,760619,543652,192196,24771
1989:Q3,HS,4209673,4925153,1528054,482884,262590,843199,180729,532383,1095314,715480,462602,228660,24218
1989:Q3,NoHS,2375058,2629512,913561,193247,87056,511543,97775,280590,545740,254454,160157,88690,5607
1989:Q4,College,10360831,11851995,3092097,827950,1432949,1543050,600390,1663347,2692212,1491163,1092144,294896,104123
1989:Q4,SomeCollege,3941435,4705773,1488140,424020,339221,676287,177476,541361,1059267,764337,545563,194246,24528
1989:Q4,HS,4198884,4918705,1531938,474189,266131,851424,185861,522335,1086827,719821,465062,231237,23522
1989:Q4,NoHS,2312554,2564776,882142,199424,86493,496305,92508,269784,538120,252221,157812,88907,5502
1990:Q1,College,10561485,12121903,3182419,869206,1353921,1605041,618471,1699372,2793474,1560418,1150295,301496,108627
1990:Q1,SomeCollege,3926548,4696005,1479818,426998,323338,693728,175855,543666,1052603,769457,555564,188726,25167
1990:Q1,HS,4142842,4857576,1502423,474618,247839,857962,186399,513528,1074806,714734,472570,218989,23175
1990:Q1,NoHS,2237423,2483200,848324,196161,80926,481211,86616,259827,530134,245777,156970,83110,5697
1990:Q2,College,10849580,12471628,3268949,892370,1404527,1663779,644918,1735264,2861821,1622048,1199098,313318,109632
1990:Q2,SomeCollege,3965275,4742530,1483014,429321,335260,714295,179254,550022,1051365,777256,564119,187952,25185
1990:Q2,HS,4148015,4864474,1507071,468039,255527,868434,192304,508763,1064336,716460,477588,216327,22545
1990:Q2,NoHS,2190249,2432098,826129,202657,81551,468100,82188,251500,519973,241848,155111,81114,5623
1990:Q3,College,10863489,12533040,3366208,921831,1154795,1712874,644607,1767833,2964892,1669552,1238036,326706,104810
1990:Q3,SomeCollege,3961192,4746165,1494880,431409,290732,734749,173484,559028,1061883,784973,571801,188929,24243
1990:Q3,HS,4094758,4816519,1498653,467470,212001,878339,188880,506593,1064584,721762,483684,216487,21591
1990:Q3,NoHS,2118101,2357168,802984,195444,70174,455278,76098,244245,512944,239067,153744,80179,5144
1990:Q4,College,11248323,12962548,3406246,944898,1300855,1758512,680815,1786405,3084817,1714226,1266467,339207,108552
1990:Q4,SomeCollege,4042804,4836484,1489577,434649,326061,757891,179866,567087,1081352,793679,578528,190040,25111
1990:Q4,HS,4122200,4851558,1482297,466320,240073,891539,196812,503712,1070805,729358,491633,216149,21576
1990:Q4,NoHS,2062685,2300225,768275,193174,75873,443960,72141,237022,509780,237540,153184,78995,5361
1991:Q1,College,11608848,13349805,3433326,962889,1513987,1799081,724913,1783517,3132092,1740957,1291135,339159,110663
1991:Q1,SomeCollege,4131335,4928470,1487427,440341,375501,782805,188310,571696,1082390,797135,586246,184998,25891
1991:Q1,HS,4184909,4910991,1485168,465415,280832,906761,206147,497971,1068697,726082,499797,204599,21686
1991:Q1,NoHS,2031681,2263187,741482,199139,83945,433601,68173,229223,507624,231506,152514,73451,5541
1991:Q2,College,11662968,13444700,3482480,976023,1491118,1836696,745248,1785086,3128049,1781732,1327369,344620,109743
1991:Q2,SomeCollege,4184705,4995570,1503970,444458,381727,810330,191500,580766,1082819,810865,600676,184131,26058
1991:Q2,HS,4200260,4933271,1491620,464078,282253,925107,211516,496337,1062361,733011,510415,201424,21172
1991:Q2,NoHS,1989065,2217784,724741,199139,83252,424467,63877,222790,499517,228718,152190,71132,5396
1991:Q3,College,11872204,13682975,3533775,994198,1589629,1869270,779499,1775966,3140638,1810771,1344926,348827,117018
1991:Q3,SomeCollege,4282820,5102926,1525892,449173,413152,839360,199037,589332,1086980,820106,608564,183650,27892
1991:Q3,HS,4259858,4994028,1499019,467285,306196,945109,220622,494407,1061390,734170,512392,200433,21345
1991:Q3,NoHS,1954182,2178267,711704,192819,87268,415990,59916,216443,494127,224085,148620,69590,5875
1991:Q4,College,12246667,14102641,3571316,1002198,1880729,1898097,819281,1753779,3177241,1855974,1373420,357107,125447
1991:Q4,SomeCollege,4416285,5256117,1544536,454401,482774,870360,208992,596400,1098655,839832,623985,185763,30084
1991:Q4,HS,4362100,5109768,1520048,467571,364889,967382,231983,491352,1066543,747668,522660,203262,21746
1991:Q4,NoHS,1928192,2151947,694684,193278,97806,408295,56101,209955,491827,223754,147814,69449,6491
1992:Q1,College,12166543,14038952,3597002,1004832,1818598,1935706,824698,1734581,3123535,1872410,1398316,351341,122753
1992:Q1,SomeCollege,4486097,5336046,1564465,460945,488561,909149,209483,606870,1096573,849949,638528,181017,30404
1992:Q1,HS,4423456,5167868,1551703,467242,364796,999312,235628,491284,1057903,744412,526965,195622,21825
1992:Q1,NoHS,1902141,2118398,681376,199186,96794,403609,51617,204366,481451,216257,144466,65373,6418
1992:Q2,College,12127267,14022550,3612167,1010418,1797160,1962409,842907,1717320,3080169,1895283,1415027,352634,127622
1992:Q2,SomeCollege,4578786,5443443,1589045,468781,503725,948095,214935,620307,1098556,864658,652044,180445,32169
1992:Q2,HS,4498697,5248736,1576088,470129,373239,1031447,244079,493730,1060024,750039,532537,195278,22224
1992:Q2,NoHS,1898159,2110622,670755,203893,97415,412582,47646,199479,478852,212463,141636,63976,6851
1992:Q3,College,12257028,14177598,3650244,1023051,1860664,1985052,871979,1707384,3079224,1920570,1434977,358408,127185
1992:Q3,SomeCollege,4722936,5608963,1632061,475179,537392,988469,223921,638440,1113501,886026,670553,182417,33056
1992:Q3,HS,4611394,5379255,1610065,477648,398316,1065137,255550,500012,1072527,767861,548020,197557,22284
1992:Q3,NoHS,1893862,2106628,671618,195846,101050,421822,43691,195534,477068,212766,142328,63551,6887
1992:Q4,College,12586222,14523445,3680850,1018273,2116296,2016477,889755,1701261,3100533,1937224,1448562,360285,128377
1992:Q4,SomeCollege,4830236,5738544,1653287,488047,599889,1011826,236763,634208,1114524,908309,683310,192605,32394
1992:Q4,HS,4748329,5541529,1644204,491345,447185,1105893,273031,496621,1083251,793200,564528,205361,23311
1992:Q4,NoHS,1923301,2141143,673862,195803,107872,438021,48999,198175,478410,217842,144501,66517,6824
1993:Q1,College,12672139,14600612,3641313,993288,2191436,2027190,919102,1722876,3105407,1928473,1445546,347533,135394
1993:Q1,SomeCollege,4899133,5816512,1653135,502449,629350,1027046,252627,640058,1111847,917379,689463,194994,32922
1993:Q1,HS,4873903,5673655,1699790,496288,465611,1137238,292409,501916,1080403,799752,575057,199971,24724
1993:Q1,NoHS,1966976,2183558,675867,214589,109302,451140,53984,203011,475665,216582,144638,64764,7180
1993:Q2,College,12739052,14679109,3661795,992705,2223649,2035921,928220,1741795,3095023,1940057,1459339,345034,135684
1993:Q2,SomeCollege,4979863,5920708,1691821,516977,651779,1042872,262901,645527,1108831,940845,705222,203446,32177
1993:Q2,HS,4971594,5797030,1735942,513789,477550,1170145,307569,507373,1084663,825436,595860,203896,25680
1993:Q2,NoHS,1999590,2220834,690529,212975,109643,464506,58706,208025,476450,221244,147925,66286,7033
1993:Q3,College,12890366,14848760,3683377,993185,2325695,2044024,942031,1767539,3092909,1958395,1467329,346921,144145
1993:Q3,SomeCollege,5083024,6050823,1727976,531377,689721,1059542,275511,653664,1113033,967800,719983,214760,33057
1993:Q3,HS,5096800,5954900,1775615,532305,503247,1204951,325057,515438,1098288,858101,619158,211837,27106
1993:Q3,NoHS,2035218,2263873,709053,209201,112235,478213,63603,213766,477803,228655,152062,69150,7443
1993:Q4,College,13047980,15024920,3691538,990826,2433327,2048906,944879,1787610,3127834,1976939,1472957,353866,150116
1993:Q4,SomeCollege,5188134,6185048,1759905,547979,730301,1075179,283677,659792,1128214,996914,733268,230189,33457
1993:Q4,HS,5232472,6127161,1830889,550074,531099,1239401,338452,522363,1114883,894690,638757,227519,28414
1993:Q4,NoHS,2073584,2310553,724410,213369,115094,491599,67856,219372,478853,236969,154694,74595,7680
1994:Q1,College,12977197,14946333,3667308,975870,2298459,2054212,939027,1818455,3193002,1969136,1470565,346568,152003
1994:Q1,SomeCollege,5248436,6261288,1779395,563754,719708,1091181,288767,669517,1148966,1012852,743354,236230,33268
1994:Q1,HS,5348686,6263936,1896007,561473,513943,1275213,349411,532611,1135279,915250,658548,226737,29965
1994:Q1,NoHS,2118303,2357892,739659,225062,110781,505150,71806,225813,479621,239589,157486,74341,7762
1994:Q2,College,12951217,14934809,3666881,972677,2225931,2058536,946209,1855648,3208927,1983592,1479099,350031,154462
1994:Q2,SomeCollege,5317791,6358802,1814021,579801,721038,1106218,297443,681044,1159237,1041011,757666,250091,33254
1994:Q2,HS,5455435,6405310,1950299,578631,507886,1310767,362850,544726,1150152,949875,678478,239730,31667
1994:Q2,NoHS,2155000,2401490,759262,228506,108261,518387,75609,232717,478748,246491,159872,78728,7891
1994:Q3,College,13061711,15059645,3671474,976603,2256917,2065295,965288,1883238,3240830,1997933,1487871,355538,154524
1994:Q3,SomeCollege,5412555,6482461,1850042,595303,745092,1121610,310998,688053,1171363,1069906,771790,265532,32584
1994:Q3,HS,5582177,6569596,1995253,598966,521593,1347626,380847,553698,1171613,987419,699374,255066,32979
1994:Q3,NoHS,2189219,2443337,776872,225642,108881,531725,79860,238982,481375,254118,162509,83816,7793
1994:Q4,College,13091808,15119663,3668167,973732,2214602,2070674,946730,1911582,3334176,2027855,1497799,366377,163679
1994:Q4,SomeCollege,5471676,6576163,1875489,609410,751105,1134555,309511,693939,1202154,1104487,785198,285343,33946
