Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Silent,16380081,17647569,4588051,1060560,1685121,3103468,729029,2209489,4271851,1267488,831969,308965,126554
1989:Q3,BabyBoom,3978335,5809861,2260997,790294,374233,378316,283736,747981,974304,1831526,1355242,445776,30508
1989:Q3,GenX,77367,131127,44121,45326,3841,545,1257,12153,23884,53760,23943,29467,350
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,16617465,17908258,4654051,1067802,1732354,3153646,753672,2226232,4320500,1290793,847847,315382,127564
1989:Q4,BabyBoom,4105620,5981687,2292701,807620,388533,410705,300093,757033,1025002,1876068,1386810,459620,29638
1989:Q4,GenX,90620,151303,47564,50161,3907,2716,2470,13563,30922,60683,25925,34283,475
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,16661373,17972076,4643231,1091917,1681122,3202135,766478,2238152,4349041,1310702,875014,306306,129382
1990:Q1,BabyBoom,4110522,6021643,2316227,820819,324902,430867,299826,763380,1065621,1911121,1428918,449427,32776
1990:Q1,GenX,96402,164965,53526,54247,0,4940,1036,14861,36355,68563,31467,36587,509
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,16861787,18195800,4708064,1094910,1733459,3250527,782584,2254343,4371913,1334013,898767,305454,129792
1990:Q2,BabyBoom,4191039,6136596,2324727,837471,343407,456666,314970,774540,1084816,1945557,1460370,452580,32607
1990:Q2,GenX,100292,178333,52371,60006,0,7416,1111,16665,40764,78041,36780,40678,583
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,16820480,18170313,4718272,1110573,1563048,3297576,785898,2271295,4423651,1349833,914793,306573,128467
1990:Q3,BabyBoom,4102340,6080675,2383126,842335,164654,473619,296330,787622,1132989,1978335,1491918,459785,26632
1990:Q3,GenX,114719,201905,61328,63246,0,10045,839,18781,47666,87186,40555,45944,687
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,17053857,18412252,4672652,1120211,1690544,3344369,812249,2279409,4492818,1358395,921755,306500,130140
1990:Q4,BabyBoom,4285771,6307459,2401707,851016,252318,494550,316333,794352,1197183,2021687,1526002,466037,29648
1990:Q4,GenX,136384,231105,72037,67816,0,12983,1052,20466,56751,94721,42054,51854,813
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,17308152,18663240,4667350,1124418,1867818,3390569,844382,2272509,4496194,1355088,928671,294525,131892
1991:Q1,BabyBoom,4490585,6531536,2403070,868256,386448,515451,341053,788853,1228404,2040951,1557181,452799,30971
1991:Q1,GenX,158035,257677,76983,75109,0,16227,2109,21046,66202,99642,43840,54883,919
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,17375666,18744826,4688786,1126234,1872635,3436434,861753,2272575,4486409,1369160,948123,289793,131244
1991:Q2,BabyBoom,4496374,6570065,2431355,876802,365715,540316,348551,790100,1217226,2073691,1592001,451549,30141
1991:Q2,GenX,164959,276434,82669,80663,0,19850,1837,22304,69111,111475,50525,59963,987
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,17523845,18904734,4690631,1137300,1967057,3481628,886261,2266688,4475168,1380889,961852,285968,133069
1991:Q3,BabyBoom,4660701,6747174,2484872,881140,429188,564267,368213,786412,1233082,2086473,1596986,451442,38045
1991:Q3,GenX,184519,306289,94887,85035,0,23834,4601,23047,74885,121770,55664,65090,1016
1991:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q4,Silent,17788020,19189218,4695566,1136857,2189598,3526295,912674,2253117,4475112,1401198,980203,285372,135623
1991:Q4,BabyBoom,4942320,7071276,2528092,889437,619297,589606,394481,775473,1274889,2128956,1624049,457828,47079
1991:Q4,GenX,222905,359979,106927,91153,17303,28233,9202,22896,84265,137074,63627,72381,1066
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,17799320,19213547,4721570,1130410,2173145,3571531,924720,2244688,4447483,1414227,1004471,273799,135957
1992:Q1,BabyBoom,4959586,7077096,2557752,902452,584914,642852,390119,769239,1229768,2117510,1628832,444471,44207
1992:Q1,GenX,219330,370621,115224,99342,10691,33392,6587,23175,82210,151291,74972,75083,1236
1992:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q2,Silent,17856648,19284985,4744604,1128916,2186927,3634370,941577,2240169,4408422,1428336,1021892,268679,137765
1992:Q2,BabyBoom,5032343,7159768,2582220,916184,577590,694502,401126,766816,1221330,2127425,1634837,442836,49752
1992:Q2,GenX,213916,380598,121230,108121,7021,25662,6864,23851,87849,166681,84515,80816,1350
1992:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q3,Silent,18013935,19451634,4747573,1140401,2256359,3697384,963045,2243227,4403645,1437698,1033809,266006,137883
1992:Q3,BabyBoom,5241172,7407202,2677071,918623,629090,746201,421723,772539,1241955,2166029,1669210,446778,50041
1992:Q3,GenX,230113,413609,139345,112700,11973,16895,10373,25603,96721,183496,92860,89149,1487
1992:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q4,Silent,18202924,19642038,4734779,1143877,2445381,3717201,964835,2229109,4406856,1439114,1032512,266791,139811
1992:Q4,BabyBoom,5612589,7823464,2760107,926806,792402,832860,469220,777582,1264486,2210875,1701086,460408,49381
1992:Q4,GenX,272574,479159,157317,122785,33459,22156,14493,23574,105376,206586,107304,97570,1712
1992:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q1,Silent,18321054,19743656,4756145,1119095,2518719,3735632,972762,2235835,4405469,1422602,1023659,255883,143060
1993:Q1,BabyBoom,5799223,8018874,2758781,947686,839772,879746,522563,807120,1263206,2219652,1712631,451785,55236
1993:Q1,GenX,291874,511807,155179,139833,37207,27236,22799,24906,104646,219932,118414,99594,1924
1993:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q2,Silent,18389096,19807815,4761294,1128373,2564875,3753890,973379,2240798,4385206,1418719,1021318,253059,144342
1993:Q2,BabyBoom,5994461,8259370,2849896,956977,861239,926821,558479,835923,1270035,2264909,1751999,458837,54073
1993:Q2,GenX,306542,550496,168897,151096,36507,32733,25538,25997,109727,243954,135029,106766,2159
1993:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q3,Silent,18531925,19945044,4764892,1139701,2656651,3772106,975312,2250554,4385828,1413118,1012356,253459,147303
1993:Q3,BabyBoom,6236059,8568200,2946486,964652,930024,975933,600950,871672,1278482,2332140,1797495,472535,62110
1993:Q3,GenX,337423,605113,184642,161714,44222,38690,29939,28181,117726,267691,148681,116673,2337
1993:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q4,Silent,18708426,20122906,4779768,1144835,2752272,3790236,975288,2256087,4424419,1414479,1005841,259013,149625
1993:Q4,BabyBoom,6472419,8866020,3027944,980656,1004152,1019855,628366,903476,1301571,2393600,1829206,496886,67508
1993:Q4,GenX,361324,658756,199030,176756,53397,44994,31213,29574,123792,297432,164630,130270,2532
1993:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q1,Silent,18783755,20180430,4815050,1132860,2694351,3808565,972723,2268701,4488180,1396675,992472,252223,151980
1994:Q1,BabyBoom,6556318,8981669,3065522,998579,917946,1065429,646886,944927,1342381,2425352,1861382,495871,68099
1994:Q1,GenX,352549,667350,201797,194720,30594,51762,29402,32767,126309,314801,176100,135782,2919
1994:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q2,Silent,18869317,20267649,4841428,1136284,2679948,3827164,976238,2285073,4521515,1398332,988733,255068,154531
1994:Q2,BabyBoom,6668505,9143588,3137459,1012999,870034,1107832,673617,991884,1349763,2475083,1890649,515054,69380
1994:Q2,GenX,341620,689174,211577,210331,13133,58911,32256,37178,125789,347554,195733,148458,3363
1994:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q3,Silent,18966757,20366019,4817502,1149248,2729276,3846295,982830,2293940,4546929,1399262,983897,259239,156126
1994:Q3,BabyBoom,6909641,9437383,3237535,1023755,893209,1153410,714747,1030198,1384528,2527742,1922209,537549,67984
1994:Q3,GenX,369266,751637,238604,223511,9998,66551,39417,39833,133723,382372,215439,163165,3768
1994:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q4,Silent,19043621,20451481,4782486,1152457,2731980,3866033,978353,2302325,4637847,1407860,980372,267822,159666
