Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1989:Q3,pct99to100,3544202,801332,535476,265856,2742870,318307,98046,403234,318518,84716,71374,64722,6652,741175,42032,11265,95128,106980,838300,17028,143476,141741,90932,27121,1333,22355,1735,3400726,932032,244112,267798741
1989:Q3,pct80to99,10474976,3733903,3038467,695436,6741073,1222344,172598,409316,381222,28094,127883,47790,80093,916426,174494,204960,412513,1573422,1430367,96751,1484012,1476202,1152784,247149,1687,74582,7809,8990964,17675472,52161,244112
1989:Q3,pct60to80,4195317,1842502,1406481,436021,2352816,531306,57986,133271,103568,29704,26582,13804,12778,222418,76466,64699,82042,830796,277054,50196,847271,843848,570335,247834,379,25300,3423,3348046,18601147,32302,52161
1989:Q3,pct40to60,2972261,1250837,999838,250999,1721424,453559,19935,81436,66694,14742,24565,7577,16987,118959,33773,40254,39305,628717,247400,33521,425286,423773,259106,159521,730,4417,1512,2546975,18605233,20512,32291
1989:Q3,pct20to40,1749241,841811,669590,172221,907430,317181,11911,34004,32761,1244,38976,34268,4708,40970,21361,6687,49067,238036,128478,20759,189289,188333,113497,69864,249,4724,956,1559952,18612879,10366,20458
1989:Q3,pct00to20,652560,318965,243317,75648,333595,113772,2168,8259,7082,1177,4486,701,3785,23247,12066,966,7137,104377,48024,9093,63439,62900,24500,32719,154,5526,540,589120,18593339,0,10361
1989:Q4,pct99to100,3629503,818487,548604,269882,2811016,324973,104245,407927,322076,85851,79012,70667,8345,752101,42308,11946,100745,113665,856804,17291,151791,149783,96421,27298,1265,24798,2008,3477712,934275,,
1989:Q4,pct80to99,10661072,3787941,3086000,701941,6873132,1241066,179773,417580,385289,32291,133834,55358,78475,948687,179542,210194,430343,1605830,1428124,98158,1509950,1501879,1174154,254294,1641,71790,8071,9151122,17723340,,
1989:Q4,pct60to80,4284448,1866669,1426199,440470,2417780,536977,57341,134335,104350,29986,28100,15235,12864,228945,77987,69406,90055,857534,285850,51251,864128,860673,582017,253580,366,24709,3455,3420321,18647676,,
1989:Q4,pct40to60,3014427,1262805,1007427,255378,1751622,461932,21135,79256,64463,14793,28304,9592,18712,125327,36653,40804,40245,631997,251602,34368,437293,435730,265851,164112,703,5063,1563,2577133,18654481,,
1989:Q4,pct20to40,1772907,845921,668026,177895,926986,319841,12445,33871,32298,1573,40194,34913,5281,45300,22960,7613,47011,250898,125410,21444,198216,197208,115892,76195,264,4858,1008,1574691,18660480,,
1989:Q4,pct00to20,678891,338078,258061,80018,340813,115259,2299,8002,6650,1352,5059,898,4162,24434,12182,1078,6796,107143,49037,9524,66165,65622,26247,33806,150,5419,544,612726,18641987,,
1990:Q1,pct99to100,3610622,820979,555776,265203,2789643,321475,114231,406559,323786,82773,93568,83447,10121,686920,41373,12627,102799,119685,872598,17808,159967,158186,104315,24940,1532,27399,1781,3450655,936528,,
1990:Q1,pct80to99,10671434,3787326,3068082,719244,6884108,1238632,193245,421691,388041,33650,146223,69428,76795,901900,182070,215363,431168,1630724,1422303,100789,1535353,1527450,1204081,247742,2050,73578,7902,9136081,17770842,,
1990:Q1,pct60to80,4331819,1880339,1431095,449244,2451480,537828,57571,132516,104288,28228,31617,18635,12981,219907,78881,74088,91293,880438,294221,53119,872577,869169,599815,244724,454,24176,3409,3459242,18694361,,
1990:Q1,pct40to60,3042834,1276988,1009608,267380,1765846,465466,22804,75491,61793,13698,32287,11690,20597,125982,39088,41336,38429,633877,255106,35981,447851,446214,277650,161864,870,5830,1637,2594983,18703467,,
1990:Q1,pct20to40,1801805,860422,677586,182836,941384,320360,13384,33466,31729,1738,41452,35498,5954,47259,24530,8538,44004,263544,122188,22658,202238,201194,119804,76157,362,4872,1043,1599568,18708002,,
1990:Q1,pct00to20,700170,353914,270837,83076,346256,116709,2424,7338,5906,1432,6097,1495,4602,24056,12052,1190,6506,109672,49977,10235,72401,71877,29733,36893,191,5060,523,627769,18690569,,
1990:Q2,pct99to100,3678271,833219,564399,268820,2845052,318686,111241,421935,338760,83175,95772,83826,11946,700836,40844,13506,105896,126000,892473,17864,168890,167156,111798,24225,1218,29916,1733,3509381,938791,,
1990:Q2,pct80to99,10812235,3835521,3111366,724155,6976713,1237667,184832,438150,400117,38032,148414,73628,74786,938505,185468,227250,436579,1658660,1419991,101198,1558350,1550463,1227771,248647,1674,72371,7887,9253885,17818016,,
1990:Q2,pct60to80,4405325,1896199,1443492,452706,2509126,539033,54516,138344,110208,28136,31608,18594,13014,227315,79994,81839,94446,904982,303529,53517,884104,880714,612806,243939,368,23600,3390,3521221,18741217,,
1990:Q2,pct40to60,3067841,1276236,1004979,271257,1791604,469369,22877,75218,61694,13524,36696,14339,22356,132916,41690,43437,37285,636307,259601,36208,459802,458099,287283,163590,702,6524,1703,2608038,18752228,,
1990:Q2,pct20to40,1822533,866640,678383,188256,955893,321033,12917,33858,31764,2094,40977,34482,6495,51929,26120,9778,41106,276351,118908,22915,209535,208450,123273,79894,319,4964,1085,1612998,18755475,,
1990:Q2,pct00to20,724526,369735,282542,87193,354792,118173,2572,8918,7300,1618,6422,1465,4957,25365,12004,1357,6185,112308,51046,10442,76931,76420,32985,38417,155,4863,512,647595,18739110,,
1990:Q3,pct99to100,3582458,839464,578778,260687,2742994,318313,120107,440431,359173,81258,99526,85679,13847,540827,39899,14044,106020,131842,913851,18135,176106,174447,117882,23772,516,32276,1660,3406352,941064,,
1990:Q3,pct80to99,10730637,3848822,3111994,736828,6881816,1241726,196271,456110,415337,40774,152338,79666,72672,790020,188009,227374,427750,1681126,1418457,102635,1574842,1566993,1249202,251965,727,65099,7849,9155796,17864902,,
1990:Q3,pct60to80,4442229,1919230,1461223,458007,2522999,541401,54351,145613,118712,26902,32037,18981,13057,198068,80897,84236,91771,926769,313256,54600,896481,893114,624389,245627,159,22938,3367,3545748,18788260,,
1990:Q3,pct40to60,3098625,1297752,1015834,281918,1800873,474463,24421,75054,62350,12704,41470,17248,24222,125521,44148,42784,33790,637701,264443,37079,470202,468431,294673,166385,301,7073,1771,2628423,18800798,,
1990:Q3,pct20to40,1850864,886161,695257,190904,964704,322217,13728,34247,31893,2354,40311,33218,7093,50379,27706,10472,37475,289027,115526,23617,217070,215944,125953,84624,148,5218,1126,1633794,18802928,,
1990:Q3,pct00to20,748080,387452,299641,87811,360628,119657,2703,11456,9706,1750,6875,1528,5347,22886,11872,1428,5924,114776,52166,10884,80653,80154,35167,39928,65,4994,499,667427,18787634,,
1990:Q4,pct99to100,3724105,840616,584579,256037,2883490,324398,123856,461210,372003,89207,109405,93603,15803,612811,39016,14731,112440,137894,929341,18387,182533,180689,122262,22969,557,34900,1844,3541573,943349,,
