Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,pct99to100,3400726,3544202,535476,265856,741175,106980,106393,838300,950022,143476,90932,27121,25423
1989:Q3,pct80to99,8990964,10474976,3038467,695436,916426,1573422,617473,1430367,2203385,1484012,1152784,247149,84079
1989:Q3,pct60to80,3348046,4195317,1406481,436021,222418,830796,146741,277054,875807,847271,570335,247834,29102
1989:Q3,pct40to60,2546975,2972261,999838,250999,118959,628717,79559,247400,646789,425286,259106,159521,6659
1989:Q3,pct20to40,1559952,1749241,669590,172221,40970,238036,55754,128478,444192,189289,113497,69864,5928
1989:Q3,pct00to20,589120,652560,243317,75648,23247,104377,8103,48024,149844,63439,24500,32719,6220
1989:Q4,pct99to100,3477712,3629503,548604,269882,752101,113665,112691,856804,975755,151791,96421,27298,28072
1989:Q4,pct80to99,9151122,10661072,3086000,701941,948687,1605830,640537,1428124,2249954,1509950,1174154,254294,81502
1989:Q4,pct60to80,3420321,4284448,1426199,440470,228945,857534,159461,285850,885990,864128,582017,253580,28531
1989:Q4,pct40to60,2577133,3014427,1007427,255378,125327,631997,81049,251602,661647,437293,265851,164112,7330
1989:Q4,pct20to40,1574691,1772907,668026,177895,45300,250898,54624,125410,450754,198216,115892,76195,6129
1989:Q4,pct00to20,612726,678891,258061,80018,24434,107143,7874,49037,152325,66165,26247,33806,6112
1990:Q1,pct99to100,3450655,3610622,555776,265203,686920,119685,115426,872598,995014,159967,104315,24940,30712
1990:Q1,pct80to99,9136081,10671434,3068082,719244,901900,1630724,646531,1422303,2282650,1535353,1204081,247742,83530
1990:Q1,pct60to80,3459242,4331819,1431095,449244,219907,880438,165381,294221,891533,872577,599815,244724,28038
1990:Q1,pct40to60,2594983,3042834,1009608,267380,125982,633877,79765,255106,671116,447851,277650,161864,8337
1990:Q1,pct20to40,1599568,1801805,677586,182836,47259,263544,52542,122188,455851,202238,119804,76157,6277
1990:Q1,pct00to20,627769,700170,270837,83076,24056,109672,7696,49977,154855,72401,29733,36893,5775
1990:Q2,pct99to100,3509381,3678271,564399,268820,700836,126000,119402,892473,1006341,168890,111798,24225,32867
1990:Q2,pct80to99,9253885,10812235,3111366,724155,938505,1658660,663829,1419991,2295728,1558350,1227771,248647,81932
1990:Q2,pct60to80,3521221,4405325,1443492,452706,227315,904982,176285,303529,897015,884104,612806,243939,27359
1990:Q2,pct40to60,2608038,3067841,1004979,271257,132916,636307,80722,259601,682058,459802,287283,163590,8929
1990:Q2,pct20to40,1612998,1822533,678383,188256,51929,276351,50884,118908,457821,209535,123273,79894,6368
1990:Q2,pct00to20,647595,724526,282542,87193,25365,112308,7542,51046,158531,76931,32985,38417,5529
1990:Q3,pct99to100,3406352,3582458,578778,260687,540827,131842,120064,913851,1036410,176106,117882,23772,34452
1990:Q3,pct80to99,9155796,10730637,3111994,736828,790020,1681126,655124,1418457,2337089,1574842,1249202,251965,73675
1990:Q3,pct60to80,3545748,4442229,1461223,458007,198068,926769,176007,313256,908899,896481,624389,245627,26465
1990:Q3,pct40to60,2628423,3098625,1015834,281918,125521,637701,76574,264443,696634,470202,294673,166385,9144
