Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1989:Q3,TopPt1,7.6,3.8,2,10.3,9.9,4.5,10.1,25.8,20.3,56.6,25.3,40.5,4.8,14.3,3.8,0.4,2.9,0.4,19.9,2.1,1.4,1.3,0.6,2.7,8,5,2.9,8.6,103646,7764974
1989:Q3,RemainingTop1,12.7,7.4,7,8.6,15.9,13.5,20.2,22.3,24.1,12.4,17.6,23.1,10.1,28.2,9.4,3.9,11.2,4.2,24.2,6.4,2.6,2.6,2.8,0.6,18.1,9.8,9.5,14.3,826161,2302167
1989:Q3,Next9,34.9,27.6,29.2,22,39.3,38.2,40.4,37.2,39.5,24.6,43.3,27.1,65.2,39.2,29.4,48.1,42.4,45.1,34.4,25.7,15,14.9,16.5,7.5,28,30.5,29.7,38,8364775,487166
1989:Q3,Next40,37.5,47.6,49.7,39.8,31.5,38.3,27.2,13.4,14.7,6,13.4,9.1,19.1,17.2,45.4,43.2,37.6,46.6,20.2,48.2,49.4,49.5,52.2,45.3,29.5,30.7,45.8,35.7,37205581,65851
1989:Q3,Bottom50,7.2,13.6,12,19.2,3.5,5.5,2,1.2,1.4,0.4,0.5,0.2,0.8,1.1,12,4.3,5.8,3.7,1.4,17.7,31.6,31.7,27.9,43.9,16.5,24,12.1,3.5,46519939,
1989:Q4,TopPt1,7.7,3.9,2.2,10.3,9.9,4.6,10.8,25.6,20.4,54,25.7,39.5,5.5,14.6,3.7,0.4,2.7,0.5,19.9,2,1.3,1.3,0.6,2.4,8,5.1,3.1,8.7,102451,
1989:Q4,RemainingTop1,12.7,7.5,7.3,8.5,15.8,13.3,20.4,22.6,24.2,13.6,18.1,23,10.8,27.9,9.1,4.1,11.2,4.4,24.2,6.3,2.7,2.7,2.9,0.7,17.9,10.6,10.2,14.3,829660,
1989:Q4,Next9,34.9,27.7,29.4,21.6,39.1,38,40.3,37.1,39.3,25,42.6,28,63.8,38.9,29.8,48,42.6,44.6,34.4,25.7,15.2,15.1,16.8,7.8,27.9,31,30,37.9,8388094,
1989:Q4,Next40,37.5,47.3,49.3,40.1,31.7,38.6,26.6,13.4,14.6,7,13.2,9.3,19,17.4,45.4,43.4,37.7,46.9,20.1,48.1,49,49,51.8,44.7,29.2,30.4,44.8,35.7,37302012,
1989:Q4,Bottom50,7.2,13.5,11.8,19.5,3.5,5.6,2,1.2,1.4,0.4,0.5,0.2,0.9,1.2,11.9,4.2,5.8,3.6,1.4,17.9,31.8,31.9,28,44.4,17,22.9,11.9,3.4,46640022,
