Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,White,21042899,7637343,5993921,1643421,13405556,2702224,351813,1041529,883431,158098,290916,167462,123454,1985007,321871,279041,637492,2980135,2620258,195271,2583683,2569421,1827105,620288,4225,117803,14262,18459216,69591129
1989:Q3,Black,1010925,449362,338491,110871,561563,93537,5343,8712,8045,667,310,201,110,16871,15444,30043,24196,316289,38461,12356,184501,183812,104575,78235,134,868,689,826424,11845844
1989:Q3,Hispanic,625281,330307,263047,67260,294974,84591,806,4858,4795,63,23,22,1,14521,8735,9380,11585,94830,56478,9166,203246,202855,142196,46589,130,13940,391,422035,7359603
1989:Q3,Other,909452,372338,297710,74628,537115,76116,4680,14421,13574,847,2617,1177,1439,46796,14142,10368,11918,91075,254426,10556,181343,180710,137278,39095,44,4293,633,728109,4223525
1989:Q4,White,21401442,7732684,6073636,1659048,13668758,2742939,365385,1048621,885492,163129,309920,183990,125930,2040936,328985,289042,661782,3049571,2632964,198612,2636598,2621893,1862248,638309,4086,117251,14705,18764843,69605334
1989:Q4,Black,1040114,458515,341161,117354,581599,91997,5204,8978,8195,783,823,532,291,18177,17280,31167,27047,324870,43211,12844,193947,193139,109944,81840,128,1227,808,846166,11811814
1989:Q4,Hispanic,647585,340362,270906,69455,307223,85193,929,4828,4744,84,164,163,2,15128,9809,9716,12405,97778,61697,9575,210229,209789,147597,48865,129,13198,440,437355,7536400
1989:Q4,Other,952108,388339,308613,79726,563769,79917,5719,18545,16695,1850,3596,1979,1617,50552,15557,11115,13961,94848,258955,11004,186768,186073,140792,40272,47,4962,695,765340,4308690
1990:Q1,White,21458035,7772259,6081712,1690547,13685776,2743417,390629,1040018,882807,157211,343668,214875,128793,1924210,331778,299025,659644,3108348,2639868,205170,2685465,2671156,1919692,625417,5068,120978,14309,18772569,69665581
1990:Q1,Black,1059116,462052,342334,119719,597063,90120,5054,9298,8333,965,2228,1741,486,18370,18745,32294,27051,332277,47836,13790,197611,196800,117050,77807,160,1784,811,861504,11791502
1990:Q1,Hispanic,661176,346415,273375,73040,314761,84122,1066,4746,4644,102,440,438,3,14730,10713,9992,12502,99785,66580,10084,216418,215960,153465,49842,165,12488,458,444759,7669355
1990:Q1,Other,980358,399240,315563,83677,581117,82812,6909,22999,19759,3240,4907,3139,1768,48714,16758,11829,15003,97532,262109,11546,190893,190175,145192,39254,66,5664,718,789465,4377331
1990:Q2,White,21736799,7845159,6141297,1703862,13891639,2747585,375219,1073554,912734,160821,350970,220073,130897,1989369,336158,318867,664617,3172622,2656549,206128,2739725,2725507,1968927,630372,4115,122093,14218,18997073,69769208
1990:Q2,Black,1083505,468188,342197,125991,615318,88334,4926,9718,8608,1110,2267,1593,674,19807,20349,34752,27859,340464,52911,13931,203544,202688,121990,78360,126,2212,856,879961,11784030
1990:Q2,Hispanic,673184,350939,276701,74238,322245,82559,1152,4675,4550,125,573,570,3,15201,11628,10577,12701,101361,71548,10270,219731,219247,156712,50810,136,11589,484,453452,7761191
1990:Q2,Other,1017242,413263,324967,88296,603979,85483,7659,28475,23952,4523,6078,4097,1980,52489,17985,12972,16321,100161,264541,11815,194610,193859,148287,39171,57,6344,751,822632,4430408
1990:Q3,White,21636426,7925119,6200830,1724288,13711307,2762278,396701,1113217,954944,158273,361878,228697,133182,1652770,339138,321665,647528,3229349,2676983,209799,2784800,2770713,2010202,640910,1780,117822,14087,18851626,69913556
1990:Q3,Black,1099197,472956,348244,124712,626241,86693,4775,10226,8930,1295,2518,1646,872,18479,21841,34928,26221,347866,58234,14459,210700,209804,127215,80150,52,2386,896,888497,11788526
1990:Q3,Hispanic,681929,356929,280516,76413,324999,80757,1280,4555,4408,147,751,747,4,13414,12447,10473,12260,102137,76393,10533,222337,221830,159429,51931,60,10409,507,459592,7814628
1990:Q3,Other,1035342,423876,333135,90741,611466,88048,8825,34913,28888,6025,7410,5231,2180,43039,19104,13271,16721,101889,266088,12157,197517,196736,150419,39311,26,6981,781,837825,4468877
1990:Q4,White,22076156,7926559,6184660,1741899,14149596,2803701,402195,1164838,977987,186850,384891,249808,135083,1856373,342473,331866,675627,3290051,2684249,213331,2831201,2816805,2042720,650472,1981,121632,14396,19244954,70095963
