Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,White,18459216,21042899,5993921,1643421,1985007,2980135,916533,2620258,4903623,2583683,1827105,620288,136290
1989:Q3,Black,826424,1010925,338491,110871,16871,316289,54239,38461,135703,184501,104575,78235,1691
1989:Q3,Hispanic,422035,625281,263047,67260,14521,94830,20965,56478,108180,203246,142196,46589,14461
1989:Q3,Other,728109,909452,297710,74628,46796,91075,22286,254426,122532,181343,137278,39095,4970
1989:Q4,White,18764843,21401442,6073636,1659048,2040936,3049571,950824,2632964,4994463,2636598,1862248,638309,136041
1989:Q4,Black,846166,1040114,341161,117354,18177,324870,58214,43211,137127,193947,109944,81840,2163
1989:Q4,Hispanic,437355,647585,270906,69455,15128,97778,22121,61697,110499,210229,147597,48865,13767
1989:Q4,Other,765340,952108,308613,79726,50552,94848,25076,258955,134338,186768,140792,40272,5704
1990:Q1,White,18772569,21458035,6081712,1690547,1924210,3108348,958669,2639868,5054681,2685465,1919692,625417,140356
1990:Q1,Black,861504,1059116,342334,119719,18370,332277,59345,47836,139235,197611,117050,77807,2754
1990:Q1,Hispanic,444759,661176,273375,73040,14730,99785,22494,66580,111172,216418,153465,49842,13111
1990:Q1,Other,789465,980358,315563,83677,48714,97532,26832,262109,145930,190893,145192,39254,6447
1990:Q2,White,18997073,21736799,6141297,1703862,1989369,3172622,983484,2656549,5089615,2739725,1968927,630372,140426
1990:Q2,Black,879961,1083505,342197,125991,19807,340464,62611,52911,139525,203544,121990,78360,3194
1990:Q2,Hispanic,453452,673184,276701,74238,15201,101361,23278,71548,110857,219731,156712,50810,12209
1990:Q2,Other,822632,1017242,324967,88296,52489,100161,29293,264541,157495,194610,148287,39171,7152
1990:Q3,White,18851626,21636426,6200830,1724288,1652770,3229349,969193,2676983,5183012,2784800,2010202,640910,133688
1990:Q3,Black,888497,1099197,348244,124712,18479,347866,61149,58234,140513,210700,127215,80150,3335
1990:Q3,Hispanic,459592,681929,280516,76413,13414,102137,22733,76393,110322,222337,159429,51931,10977
1990:Q3,Other,837825,1035342,333135,90741,43039,101889,29992,266088,170458,197517,150419,39311,7787
1990:Q4,White,19244954,22076156,6184660,1741899,1856373,3290051,1007493,2684249,5311430,2831201,2042720,650472,138009
1990:Q4,Black,904648,1123462,349294,125856,20981,355865,65787,63201,142478,218815,133337,81483,3995
1990:Q4,Hispanic,463054,688422,279625,77719,14494,102501,23506,80573,110005,225368,162140,53149,10079
1990:Q4,Other,863355,1062775,332817,93568,51014,103484,32849,266204,182839,199420,151614,39287,8519
1991:Q1,White,19673231,22524180,6190994,1760197,2152069,3351114,1055598,2666726,5347483,2850950,2075157,634835,140958
1991:Q1,Black,928822,1148927,347192,131885,24143,364026,71543,67392,142747,220105,138840,76740,4525
1991:Q1,Hispanic,462931,688661,275782,78254,15935,102381,24364,83716,108229,225729,163502,53146,9081
1991:Q1,Other,891788,1090684,333435,97448,62118,104726,36040,264574,192342,198896,152193,37486,9217
1991:Q2,White,19719636,22623242,6238977,1771972,2134858,3416051,1075500,2663086,5322798,2903606,2128405,635475,139726
1991:Q2,Black,946166,1171777,351252,133537,25181,372764,74221,72237,142585,225611,144515,76174,4922
1991:Q2,Hispanic,461293,686468,274709,78264,15659,101921,24422,86981,104512,225175,164180,53087,7908
1991:Q2,Other,909903,1109837,337873,99925,62652,105864,37998,262675,202850,199934,153550,36570,9814
1991:Q3,White,19995464,22941857,6297624,1791408,2284056,3480516,1114409,2649840,5324004,2946392,2159271,638327,148794
1991:Q3,Black,971717,1197956,357692,131773,27405,381555,79149,76887,143495,226238,143880,76596,5762
1991:Q3,Hispanic,466071,684212,272338,78969,16150,101027,24851,89659,101218,218141,159000,52041,7100
1991:Q3,Other,935812,1134172,342736,101325,68633,106630,40666,259761,214421,198360,152352,35535,10473
1991:Q4,White,20528127,23548251,6356321,1802555,2693804,3546526,1162131,2622833,5364082,3020124,2210489,650018,159617
1991:Q4,Black,995880,1229252,361632,133227,31400,390633,85216,81200,145943,233371,147822,78875,6674
1991:Q4,Hispanic,465197,680217,268676,78313,17783,99799,25404,91647,98595,215021,157029,51643,6349
1991:Q4,Other,964041,1162753,343956,103352,83211,107175,43607,255805,225646,198712,152539,35044,11129
1992:Q1,White,20515177,23568070,6422703,1811541,2637444,3637080,1165967,2605715,5287621,3052894,2259326,635980,157588
1992:Q1,Black,1024186,1253310,364247,137762,32321,402724,86132,86064,144060,229124,146711,75399,7014
1992:Q1,Hispanic,460720,665724,262425,76928,17109,98956,24729,93645,91933,205004,150586,49291,5127
1992:Q1,Other,978154,1174159,345171,105973,81876,109015,44599,251677,235847,196006,151652,32683,11671
1992:Q2,White,20588585,23691744,6477394,1826942,2638883,3722338,1189263,2596469,5240454,3103159,2300717,637843,164599
1992:Q2,Black,1053208,1282777,367670,142038,33665,413815,89468,91420,144702,229569,146132,75665,7772
1992:Q2,Hispanic,461382,657507,256279,75914,16663,100619,24509,95588,87934,196125,144311,47557,4257
1992:Q2,Other,999733,1193323,346710,108327,82327,117762,46327,247360,244509,193590,150084,31267,12239
1992:Q3,White,20917004,24081754,6580968,1848682,2758407,3807620,1227427,2602997,5255654,3164750,2352263,647240,165247
1992:Q3,Black,1072999,1310178,372936,138537,35832,424975,94619,97570,145709,237179,151719,77185,8275
1992:Q3,Hispanic,466325,658942,257951,75884,16690,101859,24553,97675,84330,192617,142409,47019,3189
1992:Q3,Other,1028892,1221570,352133,108621,86492,126026,48542,243128,256627,192678,149486,30489,12703
1992:Q4,White,21486166,24713118,6669578,1872608,3116162,3887056,1270663,2613101,5283950,3226952,2393064,665871,168017
1992:Q4,Black,1085269,1328109,380206,136678,38229,434835,96594,93284,148283,242840,155647,79233,7960
1992:Q4,Hispanic,469565,661500,254090,75972,17980,106220,29475,91039,86724,191935,141497,47408,3030
1992:Q4,Other,1047087,1241934,348330,108210,98872,144106,51816,232841,257759,194847,150694,32257,11896
1993:Q1,White,21783788,25028410,6707889,1877661,3235291,3933209,1328365,2668456,5277539,3244622,2412045,654610,177967
1993:Q1,Black,1105585,1342999,376241,145355,39067,440735,100166,90463,150971,237414,155384,74044,7986
1993:Q1,Hispanic,465032,651919,244512,73470,18179,109195,34179,85473,86911,186887,137302,46471,3114
